unani_herb__formulations,botanic_name,parts_used,temperament,ingredients,diseases,symptoms_relieved,dosage,treatment,unnamed:_9,unani_herb__formulations_ur,botanic_name_ur,parts_used_ur,temperament_ur,ingredients_ur,diseases_ur,symptoms_relieved_ur,dosage_ur,treatment_ur
Habb-e-Loban,not specified,not specified,hot dry,['kundur 7g maghz e behidana 7g rubb us soos 7 g'],['data not available'],['data not available'],2 5g daily,the herb formulation is used in the treatment of data not available,,ہاب-ای-لوبان,مخصوص نہیں,مخصوص نہیں,گرم خشک,['kundur 7g maghz e Behidana 7g ہم کو 7g کی طرح رگڑ'],['دستیاب نہیں'],['دستیاب نہیں'],روزانہ 2 5 جی,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Luab-e-Behidana,not specified,not specified,hot dry,['maghz e behidana 2 g maghz e tukhm e khiyarain 2 g zafran lg nishasta 3g kateera 3 g maghz e badam shireen 4g rubbus soos 4g maweez munaqqa 4g tukhm e khashkhaash safaid4 g'],['sual e yabis nazla e haad sil sual e muzmin'],['musakkin e sual munaffis e balgham'],500mg,the herb formulation is used in the treatment of sual e yabis nazla e haad sil sual e muzmin,,ہابِ لُوبِ بِہِدَنا,مخصوص نہیں,مخصوص نہیں,گرم خشک,['مغز اور بیہیدانہ 2 گرام مغز اور توہم اور کھیرین 2 گرام زفرن lg نشاستہ 3 گرام کٹیرا 3 گرام مغز اور بادم شیرین 4 گرام ربوس جیسے 4 گرام ماویز منققہ 4 گرام مغز اور کش کش کش صفائی 4 گرام'],['سوال و جواب'],['مسککن ای سوال منافیس ای بلہم'],500 ملی گرام,جڑی بوٹیوں کی تشکیل سے سوال و جواب کے علاج میں استعمال کیا جاتا ہے
Habb-e-Luban Qawi,not specified,not specified,hot wet,['maghz e badam 5g'],['sual nazli'],['musakkin e sual'],500mg to lg,the herb formulation is used in the treatment of sual nazli,,حبّ الْلُوبانی قاوی,مخصوص نہیں,مخصوص نہیں,گرم مٹی,['مگھز ای بادام 5 جی'],['سول نازلی'],['مشکن ای سوال'],500mg سے lg تک,اس جڑی بوٹی کی تشکیل کو سول نازلی کے علاج میں استعمال کیا جاتا ہے
Habb-e-Luknat,not specified,not specified,hot dry,['kaifal 10 g'],['luknat e lisan'],['muqawwi e asab moharrik e asab'],550 to 1 g,the herb formulation is used in the treatment of luknat e lisan,,ہبِِِ لُقَنَت,مخصوص نہیں,مخصوص نہیں,گرم خشک,['کائفل 10 گرام'],['لُکناٹ اور لسان'],['مُقاوِیِ ایِساب مُحارِکِ ایِساب'],550 سے 1 گرام,لکنیٹ ای لسان کے علاج میں جڑی بوٹیوں کا استعمال کیا جاتا ہے
Habb-e-Lulvi,not specified,not specified,hot dry,['33 habb e maghz e badam 28 i 55'],['data not available'],['data not available'],5 10ml,the herb formulation is used in the treatment of data not available,,ہابِ لُلوی,مخصوص نہیں,مخصوص نہیں,گرم خشک,['33 ہاب ای میگھز ای بادام 28 میں 55'],['دستیاب نہیں'],['دستیاب نہیں'],5 10 ملی لیٹر,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-M ulazziz,not specified,not specified,cold wet,['kundur 7g maghz e behidana 7g rubb us soos 7 g'],['data not available'],['data not available'],topical application,the herb formulation is used in the treatment of data not available,,ہب-ای-م ulazziz,مخصوص نہیں,مخصوص نہیں,سرد گیلے,['kundur 7g maghz e Behidana 7g ہم کو 7g کی طرح رگڑ'],['دستیاب نہیں'],['دستیاب نہیں'],مقامی درخواست,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Mafasil,not specified,not specified,hot wet,['suranjan talkh 10 g'],['waj ul mafail waram e mafasil'],['mohallil e waram muskkin e alm'],3 to 5 g,the herb formulation is used in the treatment of waj ul mafail waram e mafasil,,ہاب-ای-مافیسل,مخصوص نہیں,مخصوص نہیں,گرم مٹی,['سورانجان تالخ 10 گرام'],['waj ul mafail waram e mafail'],['موہللیل ای گرم موسکین ای ال'],3 سے 5 جی,جے یو ایل مفیل وارام ای مفیل کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Habb-e-Maghz-e-Badam,not specified,not specified,hot wet,['maghz e behidana 2 g maghz e tukhm e khiyarain 2 g zafran lg nishasta 3g kateera 3 g maghz e badam shireen 4g rubbus soos 4g maweez munaqqa 4g tukhm e khashkhaash safaid4 g'],['sual e yabis nazla e haad sil sual e muzmin'],['musakkin e sual munaffis e balgham'],500mg,the herb formulation is used in the treatment of sual e yabis nazla e haad sil sual e muzmin,,ہبِِِ مَغْزِ بَدَم,مخصوص نہیں,مخصوص نہیں,گرم مٹی,['مغز اور بیہیدانہ 2 گرام مغز اور توہم اور کھیرین 2 گرام زفرن lg نشاستہ 3 گرام کٹیرا 3 گرام مغز اور بادم شیرین 4 گرام ربوس جیسے 4 گرام ماویز منققہ 4 گرام مغز اور کش کش کش صفائی 4 گرام'],['سوال و جواب'],['مسککن ای سوال منافیس ای بلہم'],500 ملی گرام,جڑی بوٹیوں کی تشکیل سے سوال و جواب کے علاج میں استعمال کیا جاتا ہے
Habb-e-Maghziat,not specified,not specified,cold wet,['behidana 10g'],['sual e yabis khushunat e riya yaboosat e halq'],['munaffis e balgham daf etashannuj'],250 500mg,the herb formulation is used in the treatment of sual e yabis khushunat e riya yaboosat e halq,,ہابِ مگزیات,مخصوص نہیں,مخصوص نہیں,سرد گیلے,['بیہیدانا 10 گرام'],['سوال و جواب یبیس خُوشونات و riya yaboosat و halq'],['منفیس ای بالگام ڈیف ایتاشاننوج'],250 500mg,جڑی بوٹیوں کی تشکیل سوال ای یبیس کھوشونات ای رییا یبووسات ای halq کے علاج میں استعمال کی جاتی ہے
Habb-e-Mamool,not specified,not specified,hot dry,['zahar mohra 12g marwareed 12g araq e keora 12ml araq e gulab 12m'],['nazf ud dam zof e aam zof e qalb'],['habis ud dam muqawwi e aam muqawwi e qalb'],2g,the herb formulation is used in the treatment of nazf ud dam zof e aam zof e qalb,,ہابِ مَمول,مخصوص نہیں,مخصوص نہیں,گرم خشک,['زاکر مہر 12 گرام مارویڈ 12 گرام عرق ای کیورا 12 ملی لیٹر عرق ای گلاب 12 میٹر'],['ناصفُُُ دَمُ زُفُ اَمُ زُفُ اَلبُ'],['بیس آپ ڈیم موکاووئی اور ام موکاووئی اور قلب'],2 جی,جڑی بوٹیوں کی تشکیل کو نازف ud dam zof e aam zof e qalb کے علاج میں استعمال کیا جاتا ہے
Habb-e-Mamool 28,not specified,not specified,hot dry,['35'],['data not available'],['data not available'],topical application,the herb formulation is used in the treatment of data not available,,ہابِ مَمول 28,مخصوص نہیں,مخصوص نہیں,گرم خشک,['35'],['دستیاب نہیں'],['دستیاب نہیں'],مقامی درخواست,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Mamool Qawi,not specified,not specified,cold dry,['data not available'],['surat e inzal'],['mumsik musakkin'],250 mg for external use,the herb formulation is used in the treatment of surat e inzal,,حبّ مَمول قَوِی,مخصوص نہیں,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['surat e inzal'],['موسکا موسکا'],بیرونی استعمال کے لیے 250 مگ,اس جڑی بوٹی کی تشکیل کا استعمال surat e inzal کے علاج میں کیا جاتا ہے
Habb-e-Man-e-Hamal,not specified,not specified,hot dry,['kali zeeri 500 g'],['for man e hamal'],['man e hamal'],3 5g decoction,the herb formulation is used in the treatment of for man e hamal,,ہابِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِ,مخصوص نہیں,مخصوص نہیں,گرم خشک,['کالی زیری 500 گرام'],['انسان اور ہمال کے لیے'],['آدمی اور ہمل'],3 5 جی ڈائیکوریشن,اس جڑی بوٹی کی تشکیل کا استعمال مینی اور ہال کے علاج میں کیا جاتا ہے
Habb-e-Mastagi,not specified,not specified,hot dry,['37 habb e mulayin 30 ll 57'],['data not available'],['data not available'],1 2g bid,the herb formulation is used in the treatment of data not available,,ہابِ مَستَگی,مخصوص نہیں,مخصوص نہیں,گرم خشک,['37 ہب ای مولائیین 30 ll 57'],['دستیاب نہیں'],['دستیاب نہیں'],12 گرام کی پیش کش,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Mastagi 30,not specified,not specified,cold dry,['37 habb e mulayin 30 ll 57'],['data not available'],['data not available'],5 10ml,the herb formulation is used in the treatment of data not available,,ہابب-ای-مستگی 30,مخصوص نہیں,مخصوص نہیں,سرد خشک,['37 ہب ای مولائیین 30 ll 57'],['دستیاب نہیں'],['دستیاب نہیں'],5 10 ملی لیٹر,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Mazaryun,not specified,not specified,cold dry,['tukhm e karafs 10g'],['data not available'],['data not available'],topical application,the herb formulation is used in the treatment of data not available,,ہابِ مَزَرِون,مخصوص نہیں,مخصوص نہیں,سرد خشک,['ٹاکھم ای کاراف 10 گرام'],['دستیاب نہیں'],['دستیاب نہیں'],مقامی درخواست,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Mohallil,not specified,not specified,hot dry,['karela khushk 19g'],['warm e lauzatain for local application'],['data not available'],consult practitioner,the herb formulation is used in the treatment of warm e lauzatain for local application,,ہابِِِ محالِل,مخصوص نہیں,مخصوص نہیں,گرم خشک,['karela khushk 19g'],['مقامی طور پر استعمال کے لیے گرم اور گرم'],['دستیاب نہیں'],مشاورت کرنے والا,ہربل فارمولا مقامی طور پر استعمال کے لئے گرم e lauzatain کے علاج میں استعمال کیا جاتا ہے
Habb-e-Mugil Mulaiyin,not specified,not specified,cold dry,['data not available'],['bawaseer damiya bawaseer reehi'],['mulaiyin'],250 to 500m g,the herb formulation is used in the treatment of bawaseer damiya bawaseer reehi,,ہابِ مُگلِ شروعین,مخصوص نہیں,مخصوص نہیں,سرد خشک,['دستیاب نہیں'],['بیکار damiya بیکار reehi'],['شروع کرنا'],250 سے 500 میٹر گرام,جڑی بوٹیوں کی تشکیل کو بیواسیر damiya bawaseer reehi کے علاج میں استعمال کیا جاتا ہے
Habb-e-Mugqil Qabiz,not specified,not specified,cold wet,['muqil 100 g aab e gandana halela siyah 20 g post e halela kabuli 20 g post e balela 20 g aamla 20 g halela siyah 20 g rasaut 10 g dammul akhwain 10 g gil e armani 10 g kahruba 10 g gulnar 10 g'],['bawaseer muzmin'],['mulaiyin'],50 to 500 mg,the herb formulation is used in the treatment of bawaseer muzmin,,حبِ مغلِ قَبِیز,مخصوص نہیں,مخصوص نہیں,سرد گیلے,['muqil 100 g aab e gandana halela siyah 20 g post e halela kabuli 20 g post e balela 20 g aamla 20 g halela siyah 20 g rasaut 10 g dammul akhwain 10 g gil e armani 10 g kahruba 10 g gulnar 10 g'],['باواسر موزمین'],['شروع کرنا'],50 سے 500 ملی گرام,جڑی بوٹیوں کی تشکیل کو بیواسر موزمن کے علاج میں استعمال کیا جاتا ہے
Habb-e-Mujarrab,not specified,not specified,cold wet,['zeera safaid 3g'],['suda shaqeega'],['munaqgi e dimagh'],5 10ml,the herb formulation is used in the treatment of suda shaqeega,,حبّ-مجراب,مخصوص نہیں,مخصوص نہیں,سرد گیلے,['زرا سفیڈ 3 جی'],['سوڈان کام'],['منققی و دیماغ'],5 10 ملی لیٹر,جڑی بوٹیوں کی تشکیل سوڈا کارگا کے علاج میں استعمال کی جاتی ہے
Habb-e-Mukhrij-e-Janeen,not specified,not specified,hot dry,['mur makki 200 g'],['mukhrij e janeen'],['mus qit'],5 to 10 g,the herb formulation is used in the treatment of mukhrij e janeen,,ہابِِِِ مُخْرِجِ جَنِین,مخصوص نہیں,مخصوص نہیں,گرم خشک,['مر مکی 200 گرام'],['محمود اور جینی'],['مُس کِت'],5 سے 10 جی,جڑی بوٹیوں کی تشکیل Mukhrij e janeen کے علاج میں استعمال کی جاتی ہے
Habb-e-Mulayyin,not specified,not specified,cold wet,['maghz e jamalgota mudabbar 10 g'],['qabz'],['mulayyin'],200 mg with lukewarm water at bedtime,the herb formulation is used in the treatment of qabz,,ہابب-ا-مولیین,مخصوص نہیں,مخصوص نہیں,سرد گیلے,['Maghz e Jamalgota mudabbar 10 جی'],['کعبز'],['مولائیین'],سونے سے پہلے گرم پانی کے ساتھ 200 ملی گرام,جڑی بوٹیوں کی تشکیل کو قابز کے علاج میں استعمال کیا جاتا ہے
Habb-e-Mulaziz 31 BK. Il 58,not specified,not specified,hot dry,['39 habb e muqawwi 31'],['data not available'],['data not available'],consult practitioner,the herb formulation is used in the treatment of data not available,,حبِ المُعزیز 31 بی سی ایل 58,مخصوص نہیں,مخصوص نہیں,گرم خشک,['39 حبیبِ مکرّم 31'],['دستیاب نہیں'],['دستیاب نہیں'],مشاورت کرنے والا,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Mumsik Ambari,not specified,not specified,hot dry,['a g a r h i n d i 5 0 g'],['in surat e inzaal'],['mumsik in surat e inzaal'],one pill 420 mg 13 1 11 habb e mumsik tilai 1 ajwain khurasani 40g 2 bahman surkh 125 g 3 tukhm khashkhash 40 g 4 tukhm dhatoora siyah 40 g 5 tukh e kahu 40 g 6 j a v e t r i 2 0 g 7 j a i p h a l 2 0 g 8 s a l a j e e t 5 0 g 9 maghz akhrot 80 g 10 maghz badam shirin 40 g 11 m a g h z p i s t a 4 0 g 12 m a g h z f u n d a q 4 0 g 13 musli sainbhal 250 g 14 shakar safaid 125 g 15 maghz kadu 40 g 16 a f y u n 2 2 g 17 bhang 310 g 18 w a r q t i l a q s,the herb formulation is used in the treatment of in surat e inzaal,,ہبِ مُمّسِک امبارِ,مخصوص نہیں,مخصوص نہیں,گرم خشک,['a g a r h i n d i 5 0 g'],['surat e inzaal میں'],['سورتِ انزال میں ماں'],ایک گولی 420 مگ 13 1 11 ہب ای ماںسک تیلائی 1 اجوان خراسانی 40 گر 2 بہمان سورخ 125 گر 3 توکھم خاشقش 40 گر 4 توکھم دھاؤرا سلیک 40 گر 5 توکھم ای کاہو 40 گر 6 جے اے وی ای ٹی آر آئی 2 0 گر 7 جے ای پی ای ای ای ای ای ای ای ای ای ایل 2 0 گر 8 ایس ایل ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای ای,جڑی بوٹیوں کی تشکیل میں استعمال کیا جاتا ہے
Habb-e-Mumsik Jadeed,not specified,not specified,hot dry,['barg e bhang 100 g'],['surat e inzal'],['mumsik'],two pill with milk at bedtime,the herb formulation is used in the treatment of surat e inzal,,ہابِ مُمسِک جدِد,مخصوص نہیں,مخصوص نہیں,گرم خشک,['برگ ای بنگ 100 گرام'],['surat e inzal'],['ماں'],سونے سے پہلے دودھ کے ساتھ دو گولیاں,اس جڑی بوٹی کی تشکیل کا استعمال surat e inzal کے علاج میں کیا جاتا ہے
Habb-e-Muqil,not specified,not specified,cold dry,['post halela e zard 300 g'],['in qabz and bawaseer'],['mulaiyin in qabz and bawaseer'],three pills each 220 mg at night,the herb formulation is used in the treatment of in qabz and bawaseer,,ہاببِ مُقیل,مخصوص نہیں,مخصوص نہیں,سرد خشک,['پوسٹ ہالینا ای زارڈ 300 جی'],['کبز اور باواسر میں'],['شروع میں کبز اور bawaseer میں'],رات کے وقت ہر 220 ملی گرام میں تین گولیاں,جڑی بوٹیوں کی تشکیل کو in qabz اور bawaseer کے علاج میں استعمال کیا جاتا ہے
Habb-e-Muqil Jadeed,not specified,not specified,hot dry,['muqil azraq 250 g'],['qabz'],['mullayain 23therapeutic qabz'],4 pills at bed time,the herb formulation is used in the treatment of qabz,,حبِ الٰہیٰ,مخصوص نہیں,مخصوص نہیں,گرم خشک,['muqil azraq 250 گرام'],['کعبز'],['mullayain 23تھراپیاتی قابز'],سونے کے وقت 4 گولیاں,جڑی بوٹیوں کی تشکیل کو قابز کے علاج میں استعمال کیا جاتا ہے
Habb-e-Muqil Mulaiyin,not specified,not specified,cold wet,['post e halela 150 g'],['bawaseer damiya bawaseer reehi'],['mulaiyin'],250 to 500m g,the herb formulation is used in the treatment of bawaseer damiya bawaseer reehi,,ہابِ مُقیلِ شروعین,مخصوص نہیں,مخصوص نہیں,سرد گیلے,['پوسٹ ای ہالی 150 گرام'],['بیکار damiya بیکار reehi'],['شروع کرنا'],250 سے 500 میٹر گرام,جڑی بوٹیوں کی تشکیل کو بیواسیر damiya bawaseer reehi کے علاج میں استعمال کیا جاتا ہے
Habb-e-Muqil Qabiz,not specified,not specified,cold wet,['muqil 100 g'],['bawaseer muzmin'],['mulaiyin'],50 to 500 mg,the herb formulation is used in the treatment of bawaseer muzmin,,حبّ القلّق قبیز,مخصوص نہیں,مخصوص نہیں,سرد گیلے,['موکل 100 گرام'],['باواسر موزمین'],['شروع کرنا'],50 سے 500 ملی گرام,جڑی بوٹیوں کی تشکیل کو بیواسر موزمن کے علاج میں استعمال کیا جاتا ہے
Habb-e-Mus hil,not specified,not specified,hot dry,['jamalgota mudabbar 50 g'],['qabz'],['mus hil'],400 mg with lukewarm water or milk at bedtime 191 10 habb e narkachoor 1 narkachoor 200 g 2 pudina khusk 200 g 3 ilaichi khurd 200 g4 araq e gulab q s,the herb formulation is used in the treatment of qabz,,ہابب-ای-موس ہل,مخصوص نہیں,مخصوص نہیں,گرم خشک,['جامالگوٹا موڈاببار 50 جی'],['کعبز'],['ہل'],سو جانے سے پہلے گرم پانی یا دودھ کے ساتھ 400 ملی گرام 191 10 ہاب ای نرگاکور 1 نرگاکور 200 گرام 2 پڈینا کھوسک 200 گرام 3 ایلیچی کھور 200 گرام 4 اراک ای گلاب ق ق,جڑی بوٹیوں کی تشکیل کو قابز کے علاج میں استعمال کیا جاتا ہے
Habb-e-Musaffi-e-Khoon,not specified,not specified,cold dry,['berg bakayin 10 g'],['in nazf ud dam'],['musaffi e khoon and habis ud dam 15 in nazf ud dam'],children one to two pills each 80mg adult four pills,the herb formulation is used in the treatment of in nazf ud dam,,ہابِِِ موسیٰفیِٰ خُون,مخصوص نہیں,مخصوص نہیں,سرد خشک,['برگ بیکن 10 گرام'],['نازف اوڈ ڈیم میں'],['مصفیٰ و خُون اور بی بی ڈیم 15 میں نازف ڈیم'],بچوں میں ایک سے دو گولیاں ہر 80mg بالغ چار گولیاں,جڑی بوٹیوں کی تشکیل میں استعمال کیا جاتا ہے in nazf ud dam
Habb-e-Mushkil Kusha,not specified,not specified,hot dry,['aagarqarha 10g'],['data not available'],['mumsik e mazi mumsik e wadi'],2 5g daily,the herb formulation is used in the treatment of data not available,,حبّ الْمُشْکِلُ کوشَا,مخصوص نہیں,مخصوص نہیں,گرم خشک,['ایکگرقره 10 گرام'],['دستیاب نہیں'],['ماں اور ماں اور والد'],روزانہ 2 5 جی,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Musqit-e-Hamal,not specified,not specified,hot dry,['muqil 200 g'],['mukhrij e janeen'],['musquit'],5 to 10 g,the herb formulation is used in the treatment of mukhrij e janeen,,ہبِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِِ,مخصوص نہیں,مخصوص نہیں,گرم خشک,['موکل 200 گرام'],['محمود اور جینی'],['مچھر'],5 سے 10 جی,جڑی بوٹیوں کی تشکیل Mukhrij e janeen کے علاج میں استعمال کی جاتی ہے
Habb-e-Nafs-ud-Dam Silli,not specified,not specified,cold dry,['kafoor 10 g'],['nafs ud dam sil diq e rewi'],['habis ud dam mudammil daf e tap'],5 to 10 g,the herb formulation is used in the treatment of nafs ud dam sil diq e rewi,,ہب-ا-نفس-اُڈ-ڈام سیلی,مخصوص نہیں,مخصوص نہیں,سرد خشک,['گفافور 10 گرام'],['نوٹ:'],['تو نے تو اپنا ہاتھ بھی کھینچا'],5 سے 10 جی,جڑی بوٹیوں کی تشکیل کا استعمال نفس وڈ ڈیم سلک ای ریوی کے علاج میں کیا جاتا ہے
Habb-e-Narmushk,not specified,not specified,cold dry,['zanjabeel 50 g'],['qulanj maghs waj ul meda'],['mushil kasir e riyah'],250 mg to 1 g,the herb formulation is used in the treatment of qulanj maghs waj ul meda,,ہابِِِ نَرمُشِک,مخصوص نہیں,مخصوص نہیں,سرد خشک,['زنجابیل 50 گرام'],['قُلَانْجَ مَغْجُوْلَ مَدَا'],['مشیل کسر اور ریا'],250 مگرا سے 1 گرام تک,جڑی بوٹیوں کی تشکیل کوولنج میگھز واجول میڈا کے علاج میں استعمال کیا جاتا ہے
Habb-e-Navi,not specified,not specified,cold dry,['filfilgard 20 in no'],['zaf e basar sabal dama for ophthalmic use'],['muqawwi e basar jali'],1 2g bid,the herb formulation is used in the treatment of zaf e basar sabal dama for ophthalmic use,,ہابب-ای-نیوی,مخصوص نہیں,مخصوص نہیں,سرد خشک,['filfilgard 20 میں نہیں'],['چشموں کے استعمال کے لیے زاف ای باسر sabal dama'],['مُقاوِیِ وِ بَسَر جَلِی'],12 گرام کی پیش کش,جڑی بوٹیوں کی تشکیل کا استعمال زف ای باسار sabal dama کے علاج میں آنکھوں کے استعمال کے لیے کیا جاتا ہے
Habb-e-Nazf-ud-dam,not specified,not specified,hot dry,['gil e armani 20 g'],['ishal e damwi ishal e kabidi nafs ud dam ruaf nazf ud dam'],['habis ud dam'],5 to 10 g,the herb formulation is used in the treatment of ishal e damwi ishal e kabidi nafs ud dam ruaf nazf ud dam,,ہابِِِ نَزفِ اُدِ ڈَم,مخصوص نہیں,مخصوص نہیں,گرم خشک,['گیل ای آرمانی 20 گرام'],['اسال اور داموی اسال اور بی بی نفس ڈیم'],['بی بی ڈیم'],5 سے 10 جی,جڑی بوٹیوں کی تشکیل کو اسال ای ڈاموی اسال ای بی بی این اے نافس ڈیم رواف نافس ڈیم کے علاج میں استعمال کیا جاتا ہے
Habb-e-Nazla,not specified,not specified,cold dry,['bazr ul banj 10 g'],['sahar surfa nazla'],['munawwim musakkin'],500 g to 750 m g,the herb formulation is used in the treatment of sahar surfa nazla,,ہبِ نزلہ,مخصوص نہیں,مخصوص نہیں,سرد خشک,['بازر اول بینج 10 جی'],['صحرا سرفا نازلا'],['موساکن'],500 جی سے 750 میٹر جی,ہربل فارمولاشن کا استعمال سہار سرفا نزلہ کے علاج میں کیا جاتا ہے
Habb-e-Neeb,not specified,not specified,hot dry,['maghaz e tukhm e neeb 200 g'],['bawaseer'],['mulaiyin'],250 to 500 mg,the herb formulation is used in the treatment of bawaseer,,ہابِ نِیب,مخصوص نہیں,مخصوص نہیں,گرم خشک,['مگھاز ای ٹوکھم ای نیب 200 گرام'],['بیگ'],['شروع کرنا'],250 سے 500 ملی گرام,جڑی بوٹیوں کی تشکیل کو بیواسر کے علاج میں استعمال کیا جاتا ہے
Habb-e-Nishat Jadeed,not specified,not specified,hot wet,['sat e salajeet 300 g'],['zof e bah'],['moharrik'],one pill with milk twice a day,the herb formulation is used in the treatment of zof e bah,,ہابِ نِشَت جَدِد,مخصوص نہیں,مخصوص نہیں,گرم مٹی,['سیٹ اور سالاجٹ 300 گرام'],['زوفِِِِ بہ'],['موہرریک'],دودھ کے ساتھ ایک گولی دو بار دن میں,زوفی باہ کے علاج میں جڑی بوٹیوں کا فارمولا استعمال کیا جاتا ہے
Habb-e-Nuzul-ul-Ma,not specified,not specified,hot wet,['sibr 10 g'],['data not available'],['data not available'],consult practitioner,the herb formulation is used in the treatment of data not available,,ہبِ نُذُلُ مَا,مخصوص نہیں,مخصوص نہیں,گرم مٹی,['sibr 10 جی'],['دستیاب نہیں'],['دستیاب نہیں'],مشاورت کرنے والا,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
Habb-e-Pan,not specified,not specified,hot dry,['data not available'],['_aatishak fasad e dam'],['musaffi e dam'],15 25 mg,the herb formulation is used in the treatment of _aatishak fasad e dam,,ہب-ای-پین,مخصوص نہیں,مخصوص نہیں,گرم خشک,['دستیاب نہیں'],['_آتیشک کا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخا رخ'],['موصفی اور ڈیم'],15 25 ملی گرام,اس جڑی بوٹی کی تشکیل کا استعمال آٹیشک فاسڈ ای ڈیم کے علاج میں کیا جاتا ہے
Habb-e-Qabiz,not specified,not specified,hot dry,['kath 300 g'],['ishal e atfal'],['qabiz daf e taffun'],125 to 250 m g,the herb formulation is used in the treatment of ishal e atfal,,حبّ القبیز,مخصوص نہیں,مخصوص نہیں,گرم خشک,['کٹ 300 گرام'],['ایشال ای اِفال'],['کعبز ڈیف این ٹافون'],125 سے 250 میٹر جی,جڑی بوٹیوں کی تشکیل کو ایشال ای اٹیفال کے علاج میں استعمال کیا جاتا ہے
Habb-e-Qabiz Qawi,not specified,not specified,hot dry,['afyun lg tukhm e ispast lg aqaqia l g gul e surkh l g habb ul aas lg luab e samagh e arabi qs'],['is hal'],['qabiz'],150 250 mg,the herb formulation is used in the treatment of is hal,,حبّ القبیز قاوی,مخصوص نہیں,مخصوص نہیں,گرم خشک,['افیون ایل جی ٹوکھم ای اسپاٹ ایل جی ایکیا ایل جی گل ای سورخ ایل جی ہب ال ای جی لواب ای سماگ ای عرب کیو ایس'],['ہال ہے'],['کبیز'],150 250 مگ,ہال کے علاج میں جڑی بوٹیوں کی تشکیل کا استعمال کیا جاتا ہے
Habb-e-Qabiz Qawi ,not specified,not specified,cold wet,['43 habb e qoqaya 34'],['data not available'],['data not available'],consult practitioner,the herb formulation is used in the treatment of data not available,,حبِ القبیز قاوی ,مخصوص نہیں,مخصوص نہیں,سرد گیلے,['43 ہب اور ققایا 34'],['دستیاب نہیں'],['دستیاب نہیں'],مشاورت کرنے والا,جڑی بوٹیوں کی تشکیل دستیاب نہیں ہونے والے اعداد و شمار کے علاج میں استعمال کی جاتی ہے
